Gene,m1,m2,m3,m4,m5,m6,m7,m8,m9
Irak4,6.444196037,12.36013284,6.483745949,4.78525104,9.406340778,7.285042877,7.422624947,10.94962655,5.075658272
Ireb2,388.4929611,355.3538191,382.541011,230.6491001,434.4019196,527.4371043,337.7294351,343.3490039,423.3098998
Irf1,27.61798301,32.96035424,25.9349838,34.45380748,40.19072878,32.05418866,47.31923404,36.75946055,24.3631597
Irf2,31.30038075,36.05038745,29.17685677,55.50891206,37.62536311,118.0176946,71.44276511,82.90431528,113.6947453
Irf2bp1,202.5318754,184.3719815,210.7217433,190.4529914,189.8370593,128.2167546,141.9577021,153.2947717,118.7704036
Irf2bp2,594.7072342,555.1759667,588.940257,755.112614,767.8994562,617.771636,406.3887158,450.4989208,552.2316199
Irf2bpl,170.3108953,188.4920258,211.8023677,264.1458574,235.1585194,272.4606036,155.8751239,187.7078837,183.7388294
Irf3,111.3925315,123.6013284,108.0624325,90.91976975,98.33901722,77.2214545,74.22624947,88.37912856,99.48290212
Irf4,5.523596603,2.06002214,0,0.957050208,5.130731333,0,1.855656237,3.128464728,3.045394963
Irf5,24.85618471,37.08039852,17.2899892,35.41085769,32.49463178,18.94111148,24.12353108,24.24560164,14.21184316
Irf6,3.682397735,5.15005535,4.322497299,3.828200832,5.130731333,4.371025726,3.711312473,8.603278001,8.121053234
Irf7,10.12659377,6.18006642,7.564370274,14.35575312,5.985853222,1.457008575,6.494796828,4.692697092,6.090789926
Irf8,23.01498585,23.69025461,18.37061352,36.3679079,35.05999744,23.31213721,16.70090613,28.93829873,14.21184316
Irf9,46.02997169,51.5005535,49.70871894,67.95056476,58.14828844,29.14017151,51.95837463,61.78717837,64.96842588
Irg1,0,0,0,0,0,0,0,0,0
Irgc1,0,0,0,0,0,0,0,0,0
Irgm1,31.30038075,45.32048708,42.14434867,30.62560665,29.07414422,20.39812006,26.90701543,33.63099582,39.59013452
Irgm2,16.57078981,20.6002214,15.12874055,30.62560665,33.34975367,24.76914578,16.70090613,21.11713691,19.28750143
Irgq,403.222552,545.9058671,515.457803,612.5121331,437.8224071,537.6361644,537.2124805,477.090871,495.3842473
Irs1,261.4502392,273.9829446,289.6073191,271.802259,339.4833899,300.1437666,393.3991222,330.835145,387.7802919
Irs2,170.3108953,258.5327786,259.349838,319.6547694,278.7697358,371.5371868,218.0396078,270.6121989,212.1625158
Irs3,0,0,2.16124865,0.957050208,2.565365667,0,0.927828118,0.782116182,0
Irs4,0.920599434,1.03001107,0,0.957050208,0.855121889,0,0,0.782116182,1.015131654
Irx1,1.841198868,0,0,0,10.26146267,1.457008575,0,8.603278001,0
Irx2,1.841198868,0,1.080624325,1.914100416,5.985853222,0,1.855656237,21.11713691,0
Irx3,0.920599434,1.03001107,0,0,2.565365667,0,0,0.782116182,0
Irx4,0,0,0,0,0,0,0,0,0
Irx5,0,0,0,0,5.130731333,0,0,5.474813274,1.015131654
Irx6,0,0,0,0,0.855121889,0,0.927828118,1.564232364,0
Isca1,13.80899151,17.51018819,9.725618924,23.9262552,20.52292533,43.71025726,26.90701543,46.92697092,35.5296079
Isca2,109.5513326,104.0311181,98.33681356,133.9870291,94.06340778,110.7326517,97.42195243,104.0214522,86.28619062
Iscu,31.30038075,30.9003321,20.53186217,41.15315894,34.20487556,32.05418866,22.26787484,21.11713691,22.33289639
Isg15,0,0,1.080624325,0.957050208,0,2.914017151,1.855656237,0.782116182,2.030263309
Isg20,1.841198868,4.12004428,2.16124865,0,3.420487556,0,0.927828118,1.564232364,5.075658272
Isg20l2,80.09215074,66.95071955,74.56307841,93.79092038,71.83023867,72.85042877,78.86539006,62.56929455,55.83224099
Isl1,0,0,0,0,0,0,0,0,0
Isl2,0,0,0,0,0,0,0,0,0
Islr,47.87117056,36.05038745,50.78934327,123.4594768,184.706328,125.3027375,93.71063995,64.13352692,54.81710933
Islr2,701.4967686,607.7065313,527.3446705,1121.662844,1154.41455,1040.304123,775.6643069,585.0229041,625.3210991
Ism1,69.04495754,39.14042066,66.99870814,29.66855645,25.65365667,20.39812006,46.39140592,38.32369291,38.57500286
Isoc1,115.0749292,105.0611291,108.0624325,108.1466735,144.5155992,125.3027375,152.1638114,158.7695849,152.2697481
Isoc2a,30.37978132,45.32048708,46.46684597,61.25121331,35.05999744,39.33923154,42.68009344,51.61966801,48.72631941
Isoc2b,28.53858245,19.57021033,14.04811622,31.58265686,23.088291,20.39812006,18.55656237,8.603278001,12.18157985
Ispd,120.5985258,98.88106271,89.69181896,76.56401663,59.85853222,74.30743735,72.37059323,64.13352692,68.01382084
Ist1,570.771649,534.5757453,560.8440246,629.7390368,702.0550708,579.889413,578.0369177,495.0795432,470.0059559
Isx,0,0,0,0,0,0,0,0,0
Isy1,79.17155131,59.74064206,62.67621084,55.50891206,65.84438544,90.33453168,78.86539006,87.59701238,87.30132227
Isyna1,87.45694621,107.1211513,100.4980622,110.0607739,70.97511678,71.3934202,56.59751522,86.81489619,57.8625043
Itch,662.8315923,642.7269076,608.3914949,448.8565475,549.8433746,445.8446241,575.2534334,588.1513688,690.2895249
Itfg1,1907.482027,2138.302981,1805.723247,1738.003178,1713.664265,1475.949687,1573.596489,1539.204646,1634.361963
Itfg2,51.55356829,54.59058671,65.91808382,66.03646435,70.97511678,64.10837732,85.36018689,88.37912856,51.77171437
Itfg3,106.7895343,101.9710959,103.7399352,138.7722801,82.09170133,74.30743735,76.0819057,103.239336,113.6947453
Itga1,70.8861564,50.47054243,65.91808382,42.11020915,79.52633567,56.82333444,77.93756194,70.39045637,81.21053234
Itga10,22.09438641,12.36013284,17.2899892,10.52755229,32.49463178,29.14017151,26.90701543,32.84887964,24.3631597
Itga11,34.98277848,21.63023247,31.33810542,16.26985353,52.16243522,39.33923154,58.45317146,35.19522819,34.51447625
Itga2,0,2.06002214,2.16124865,0,0,0,0,0,0
Itga2b,3.682397735,5.15005535,2.16124865,5.742301247,5.130731333,11.6560686,0.927828118,3.128464728,7.10592158
Itga3,70.8861564,48.41052029,43.22497299,56.46596227,59.85853222,48.08128299,40.82443721,71.95468874,61.92303091
Itga4,174.9138924,130.8114059,155.6099028,102.4043722,121.4273082,174.8410291,115.0506867,146.255726,114.7098769
